,id_municipio,total,automovel,bonde,caminhao,caminhao trator,caminhonete,camioneta,chassi plataf,ciclomotor,micro-onibus,motocicleta,motoneta,onibus,quadriciclo,reboque,semi-reboque,side-car,outros,trator estei,trator rodas,triciclo,utilitario
5164,2708303,4702.0,1556.0,0.0,147.0,1.0,240.0,96.0,0.0,22.0,72.0,2008.0,287.0,87.0,0.0,135.0,14.0,0.0,0.0,0.0,0.0,3.0,34.0
5165,2708402,6369.0,2176.0,0.0,162.0,4.0,393.0,89.0,0.0,3.0,117.0,2966.0,252.0,57.0,0.0,107.0,26.0,0.0,0.0,0.0,0.0,3.0,14.0
5166,2708501,5837.0,2211.0,0.0,261.0,12.0,331.0,101.0,0.0,89.0,37.0,2049.0,161.0,264.0,0.0,239.0,60.0,1.0,0.0,0.0,0.0,1.0,20.0
5167,2708600,17631.0,6163.0,0.0,415.0,119.0,768.0,349.0,0.0,105.0,183.0,6722.0,1579.0,245.0,0.0,545.0,341.0,0.0,2.0,0.0,1.0,4.0,90.0
5168,2708709,2181.0,850.0,0.0,42.0,0.0,175.0,47.0,0.0,127.0,5.0,736.0,124.0,7.0,0.0,44.0,8.0,0.0,1.0,0.0,0.0,0.0,15.0
5169,2708808,9290.0,2381.0,0.0,197.0,46.0,495.0,59.0,0.0,50.0,50.0,4481.0,1010.0,212.0,0.0,198.0,87.0,0.0,0.0,0.0,0.0,2.0,22.0
5170,2708907,5368.0,2740.0,0.0,130.0,32.0,291.0,141.0,0.0,119.0,29.0,1536.0,105.0,33.0,0.0,139.0,56.0,0.0,0.0,0.0,0.0,0.0,17.0
5171,2708956,2406.0,618.0,0.0,47.0,1.0,202.0,25.0,0.0,2.0,34.0,1363.0,57.0,17.0,0.0,33.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0
5172,2709004,1591.0,464.0,0.0,25.0,0.0,73.0,34.0,0.0,4.0,14.0,891.0,33.0,10.0,0.0,37.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0
5173,2709103,5560.0,1393.0,0.0,115.0,6.0,340.0,60.0,0.0,5.0,80.0,3119.0,270.0,53.0,0.0,92.0,18.0,0.0,1.0,0.0,0.0,0.0,8.0
5174,2709152,10042.0,3071.0,0.0,208.0,44.0,482.0,131.0,1.0,191.0,92.0,4149.0,1005.0,244.0,0.0,288.0,97.0,0.0,0.0,0.0,0.0,1.0,38.0
5175,2709202,3989.0,876.0,0.0,104.0,2.0,201.0,34.0,0.0,0.0,24.0,2519.0,143.0,41.0,0.0,29.0,3.0,0.0,0.0,0.0,0.0,1.0,12.0
5176,2709301,20510.0,5778.0,0.0,588.0,27.0,1179.0,319.0,0.0,246.0,312.0,10234.0,996.0,276.0,0.0,374.0,89.0,0.0,3.0,0.0,0.0,3.0,86.0
