,codigo_tse,qt_aptos_1t_2022,qt_aptos_2t_2022,qt_comparecimento_1t_2022,qt_comparecimento_2t_2022,qt_abstencao_1t_2022,qt_abstencao_2t_2022,qt_aptos_1t_2020,qt_aptos_2t_2020,qt_comparecimento_1t_2020,qt_comparecimento_2t_2020,qt_abstencao_1t_2020,qt_abstencao_2t_2020,qt_aptos_1t_2018,qt_aptos_2t_2018,qt_comparecimento_1t_2018,qt_comparecimento_2t_2018,qt_abstencao_1t_2018,qt_abstencao_2t_2018,id_municipio
135,3085,20516,20516,16698,15082,3818,5434,18775.0,,14815.0,,3960.0,,17533,17533,15116,13784,2417,3749,1400472
136,3093,12464,12464,10450,9582,2014,2882,11929.0,,9968.0,,1961.0,,11227,11227,9759,8899,1468,2328,1400308
137,3107,6333,6333,5537,5265,796,1068,5708.0,,5040.0,,668.0,,5411,5411,4874,4767,537,644,1400704
138,3115,7661,7661,6692,6108,969,1553,6912.0,,6141.0,,771.0,,6395,6395,5926,5641,469,754,1400407
139,3123,8454,8454,6825,6090,1629,2364,8133.0,,6316.0,,1817.0,,7573,7573,6686,6131,887,1442,1400456
140,3131,4948,4948,4274,3773,674,1175,4581.0,,3980.0,,601.0,,4352,4352,3878,3463,474,889,1400506
141,3158,5993,5993,5066,4043,927,1950,5396.0,,4647.0,,749.0,,4883,4883,4334,3642,549,1241,1400605
142,4006,22448,22448,16299,15609,6149,6839,21409.0,,16136.0,,5273.0,,22305,22305,15410,13938,6895,8367,1503093
143,4014,119594,119594,99959,99570,19635,20024,113661.0,,95032.0,,18629.0,,107335,107335,90590,87618,16745,19717,1500107
144,4022,52878,52878,40341,39797,12537,13081,51187.0,,40500.0,,10687.0,,47134,47134,35385,32871,11749,14263,1507953
145,4030,44113,44113,37642,36557,6471,7556,40802.0,,36177.0,,4625.0,,38347,38347,34592,33066,3755,5281,1500206
146,4049,10901,10901,8713,8572,2188,2329,9952.0,,8538.0,,1414.0,,9491,9491,8276,7856,1215,1635,1501576
